sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+00,-1.466151115007613415e+00,5.368009919247468398e-01,4.216460104915111060e+02,4.228570317528742635e+02,3.361151768188250344e+00,-1.156801073360218091e+00,1.129734120879500203e+01,1.338188723327352614e+00,6.944444444444444059e-03
1.000000000000000000e+01,-1.490685138888836470e+00,5.466088304485312577e-01,4.286626097278680163e+02,4.299720302721018470e+02,-5.340290148697217631e-01,-2.193676401773960727e-01,2.851869887227255207e-01,4.812216155699951259e-02,1.041666666666666609e-02
1.500000000000000000e+01,-1.507939980911931377e+00,5.509541323089567344e-01,4.321684561011986716e+02,4.364049729040738157e+02,-8.177575597026770282e+00,-5.391280158956590185e+00,6.687274264508774024e+01,2.906590175235899665e+01,3.472222222222222029e-03
2.000000000000000000e+01,-1.469395788079476795e+00,5.593094202298481976e-01,4.333893428381746276e+02,4.129826310956041198e+02,5.239633754008639954e+00,-8.850565551903599726e-02,2.745376187614667174e+01,7.833251058854266355e-03,0.000000000000000000e+00
2.500000000000000000e+01,-1.457234500091474372e+00,5.310132302174408458e-01,4.195526727933173561e+02,4.198143992593718394e+02,-5.898887498095461979e+00,7.153160791285239739e+00,3.479687371518694050e+01,5.116770930598048039e+01,2.083333333333333218e-02
3.000000000000000000e+01,-1.483353860408466840e+00,5.099584398313595779e-01,4.254868877404693990e+02,4.289249358548075861e+02,-1.434352109670506970e-01,-5.391188862821339356e+00,2.057365974516233917e-02,2.906491735460884485e+01,1.041666666666666609e-02
3.500000000000000000e+01,-1.480662349457843696e+00,4.861630136975386152e-01,4.261235414322686665e+02,4.267379718554493593e+02,-1.565301389815779487e+00,-5.219318400185902540e+00,2.450168440959211047e+00,2.724128456251913022e+01,6.944444444444444059e-03
4.000000000000000000e+01,-1.495591011990369701e+00,4.832533661411663184e-01,4.406391556557746298e+02,4.208212672506783179e+02,-1.389409339140192046e+00,-2.251147780365822193e+00,1.930458311689985162e+00,5.067666329045968254e+00,0.000000000000000000e+00
4.500000000000000000e+01,-1.497451863983695119e+00,5.430674641113955037e-01,4.329971742517011535e+02,4.295350994029072353e+02,-4.905023981671504885e+00,4.090691061729809341e+00,2.405926026077258228e+01,1.673375336251615408e+01,0.000000000000000000e+00
5.000000000000000000e+01,-1.479418722288798671e+00,5.386112108965718237e-01,4.277100162270990040e+02,4.244351678112490163e+02,-5.717647328247350558e-01,5.421061031766974736e+00,3.269149097021406547e-01,2.938790271014241640e+01,3.472222222222222029e-03
5.500000000000000000e+01,-1.491551072852140614e+00,5.543118143879668391e-01,4.242198119575490409e+02,4.349136060052838957e+02,-4.533178717069574759e-02,-5.212998952570147893e+00,2.054970928089255768e-03,2.717535807949746030e+01,6.944444444444444059e-03
6.000000000000000000e+01,-1.459514890734756154e+00,5.531307095292219422e-01,4.168584462477579109e+02,4.238221308154616054e+02,-5.105140227926392882e+00,-5.976087048837936067e+00,2.606245674679234270e+01,3.571361641528851294e+01,0.000000000000000000e+00
6.500000000000000000e+01,-1.448623828388947210e+00,5.298781840632486029e-01,4.129465677993428585e+02,4.214607573526907345e+02,2.543031594743803581e+00,-7.262003327988847623e+00,6.467009691865213128e+00,5.273669233572109505e+01,1.041666666666666609e-02
7.000000000000000000e+01,-1.522416662286668609e+00,5.697391618089787668e-01,4.447938314480732060e+02,4.321181660290479272e+02,1.130736119208804169e+01,-1.135457311269301783e+01,1.278564171283387054e+02,1.289263305714912065e+02,6.944444444444444059e-03
7.500000000000000000e+01,-1.489323358950692455e+00,5.222981694810333586e-01,4.324344137559577348e+02,4.254158409996410910e+02,8.141184790718728692e+00,4.439311182725536931e+00,6.627888979662995439e+01,1.970748377707200660e+01,3.472222222222222029e-03
8.000000000000000000e+01,-1.527796993838809847e+00,5.528942320213007244e-01,4.332285397499280180e+02,4.467825287012264539e+02,7.236715716292429157e+00,1.261153115954209092e+00,5.237005435843384760e+01,1.590507181881010812e+00,3.472222222222222029e-03
8.500000000000000000e+01,-1.534325954275205239e+00,5.522438545521024533e-01,4.417357740329925946e+02,4.420359756295256943e+02,-5.788843504169385312e+00,5.241549863374387996e+00,3.351070911576408662e+01,2.747384497024006578e+01,0.000000000000000000e+00
9.000000000000000000e+01,-1.522717545736896883e+00,5.472999268160405606e-01,4.355753947431584265e+02,4.415099116012942204e+02,-7.327999586570488333e-01,-1.323023300924764722e+00,5.369957794077724333e-01,1.750390654789860445e+00,3.472222222222222029e-03
9.500000000000000000e+01,-1.480586514882781701e+00,5.293386200362729666e-01,4.270570230520875157e+02,4.257608095203947869e+02,6.517287876976516792e+00,-3.602121925704481864e+00,4.247504127138507357e+01,1.297528236764096476e+01,3.472222222222222029e-03
1.000000000000000000e+02,-1.480312268558417799e+00,5.174651023713741083e-01,4.194576246968140367e+02,4.332022419928345585e+02,-7.416973148740398258e+00,9.301908227764776882e-02,5.501149068913606044e+01,8.652549667775805836e-03,3.472222222222222029e-03
1.050000000000000000e+02,-1.481838377459494094e+00,5.601300991538237239e-01,4.209620040773160099e+02,4.325769013393526166e+02,5.484150562680754959e+00,-4.093132898669767705e+00,3.007590739415164194e+01,1.675373692617277399e+01,6.944444444444444059e-03
1.100000000000000000e+02,-1.480070138121195811e+00,5.630469831564431926e-01,4.266586686976310716e+02,4.258617308601776585e+02,6.214359745797537471e-01,-2.548035044701677077e+00,3.861826705018883699e-01,6.492482589027877893e+00,3.472222222222222029e-03
1.150000000000000000e+02,-1.482425568066156218e+00,5.275529796239255553e-01,4.279577841566186862e+02,4.259193430494873382e+02,7.576351157209177956e+00,2.540882239768156303e+00,5.740109685734484657e+01,6.456082556369242553e+00,6.944444444444444059e-03
1.200000000000000000e+02,-1.492686371545800528e+00,5.775196685490000537e-01,4.234109661659853714e+02,4.363763838443957752e+02,-2.010877552257143375e+00,4.816745091594554218e-02,4.043628530171680779e+00,2.320103327740023064e-03,0.000000000000000000e+00
1.250000000000000000e+02,-1.488794330102110486e+00,5.420298555029318122e-01,4.295740654920367092e+02,4.279714686467789306e+02,-3.790234364380108190e+00,5.672027258234532354e+00,1.436587653692788358e+01,3.217189321815554592e+01,0.000000000000000000e+00
1.300000000000000000e+02,-1.493882340639824502e+00,5.470069594498838672e-01,4.261558943311069356e+02,4.343203338774320059e+02,-8.422912300596774315e-01,-8.604695277452908186e+00,7.094545162354444212e-01,7.404078081782037657e+01,6.944444444444444059e-03
1.350000000000000000e+02,-1.517981214270878176e+00,5.763390117715276872e-01,4.359229790195044529e+02,4.384342004005214903e+02,-1.274895859513591745e-02,-4.864768746108117270e+00,1.625359452604899734e-04,2.366597495311034294e+01,0.000000000000000000e+00
1.400000000000000000e+02,-1.541693394641637571e+00,5.753552210882412199e-01,4.445795208002386403e+02,4.434358745133445723e+02,5.281307235586056414e+00,-1.287089352910683271e+00,2.789220611665363236e+01,1.656599002376041296e+00,3.472222222222222029e-03
